Title,Price,Description,Condition,GenreNew,
Lot of 5 Novels by Women Writers,10,"All paperbacks. Normal wear, no marks. $10 for all 5, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

The books are as follows:

1. Dodie Smith – I Capture the Castle (St. Martin’s Griffin, 1998; copyright 1948)
2. Marilynne Robinson – Gilead (Picador, 2006; copyright 2004)
3. Muriel Barbery – The Elegance of the Hedgehog (Europa Editions, 2008; copyright 2006)
4. Herta Müller – The Appointment (Picador, 2002; copyright 1997)
5. Magda Szabó – The Door (New York Review Books, 2015; copyright 1987)",excellent,Fiction,
Lot of 4 Karl Marx & Friedrich Engels Books,15,"Very Good condition. $15 for all 4, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

1. Karl Marx; translated & edited by T.B. Bottomore – Early Writings (McGraw-Hill Book Company, 1964; 1st McGraw-Hill edition)
2. Karl Marx; translated by Rodney Livingstone & Gregor Benton – Early Writings (Penguin Books, 1992)
3. Karl Marx & Friedrich Engels; translated by Samuel Moore – The Communist Manifesto (Penguin Books, 1967)
4. Karl Marx & Friedrich Engels; edited by Lewis S. Feuer – Basic Writings on Politics and Philosophy (Anchor Books, 1959)",excellent,Education & Teaching,
Lot of 4 Philosophy Books,20,"Very Good condition. $20 for all 4, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

1. Robert C. Solomon & Kathleen M. Higgins – A Short History of Philosophy (Oxford University Press, 1996; 5th printing) [HB] 
2. Alain de Botton – The Architecture of Happiness (McClelland & Stewart, 2006; 1st McClelland & Stewart edition) [HB]
3. Martin Cohen – 101 Philosophy Problems (Routledge, 1999; 1st edition) [PB]
4. Richard McKeon (edited, with a general introduction and introductions to the particular works) – Introduction to Aristotle (The Modern Library, 1947; 1st Modern Library edition) [HB]",excellent,Education & Teaching,
Lot of 3 Books on Jewish Life and History in Berlin,50,"All hardbacks in Fine condition. $50 for all 3 books, not sold separately. Cash only.

1. Bill Rebiger – Jüdisches Berlin. Photos aus Kaiserreich und Weimarer Republik | Jewish Life in Berlin. Photos from the German Empire and Weimar Republic (Jaron Verlag, 2008, copyright date) bilingual edition
2. Andreas Nachama, Julius H. Schoeps, Hermann Simon, edited by; translated by Michael S. Cullen & Allison Brown – Jews in Berlin (Henschel Verlag, 2002, copyright date)
3. Alan E. Steinweis – Kristallnacht 1938 (The Belknap Press of Harvard University Press, 2009, copyright date)

Please have a look at my other listings as well. Thank you.",excellent,History,
Lot of 8 Books by/about Bob Dylan,40,"All in Very Good to Fine condition, no marks. $40 for all 8, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

The books are as follows ([HB] = hardback; [PB] = paperback):

1. Bob Dylan – Lyrics 1962-1985. Includes all of Writings and Drawings plus 120 new Writings (Alfred A. Knopf, 1985; 5th printing 1990) [HB] Fine
2. Bob Dylan – Drawn Blank (Random House, 1994; 1st edition, 1st printing) [HB] Fine
3. Bob Dylan – Tarantula. Poems (St. Martin’s Press, 1994) [PB] Very Good
4. Bob Dylan – Chronicles. Volume One (Simon & Schuster, 2004; 1st edition, 1st printing) [HB] Fine
5. Howard Sounes – Down the Highway. The Life of Bob Dylan (Grove Press, 2001; 1st edition, 1st printing) [HB] Fine
6. Paul Williams – Bob Dylan. Watching the River Flow. Observations on his art-in-progress, 1966-1995 (Omnibus Press, 1996; copyright date) [PB] Very Good
7. Paul Williams – Bob Dylan. Performing Artist. The Early Years, 1960-1973 (Underwood-Miller, 1991; 2nd printing) [PB] Very Good
8. Paul Williams – Bob Dylan. Performing Artist. The Middle Years, 1974-1986 (Underwood-Miller, 1992; 1st printing) [PB] Very Good",excellent,"Arts, Crafts & Photography",
Mick Fleetwood Autobiography Like New,5,"Mick Fleetwood & Anthony Bozza – Play On. Now, Then & Fleetwood Mac. The Autobiography (Little, Brown and Company, 2014; 1st edition, 1st printing) [HB] in Like New condition

Please have a look at my other listings as well. Cash only. Thank you.",like new,Biographies & Memoirs,
[Rare Find] The Building Book. About Houses the World Over,20,"Evelyn Smith; illustrated by H. Lawrence Hoffman – The Building Book. About Houses the World Over (Howell, Soskin, Publishers, 1947, copyright date) [HB] Fine condition

Cash only. Please have a look at my other listings as well. Thank you.",excellent,"Arts, Crafts & Photography",
Siddhartha Mukherjee – The Gene. An Intimate History,10,"Siddhartha Mukherjee – The Gene. An Intimate History (Scribner, 2016; 1st edition, 1st printing) in Fine condition

Cash only. Please have a look at my other listings as well. Thank you.",excellent,History,
"Origins, Imitation, Conventions. Representations in the Visual Arts",20,"James S. Ackerman – Origins, Imitation, Conventions. Representations in the Visual Arts (The MIT Press, 2002; copyright date) in Like New condition

Cash only. Please have a look at my other listings as well. Thank you.",like new,"Arts, Crafts & Photography",
The World in a Phrase. A Brief History of the Aphorism,5,"James Geary – The World in a Phrase. A Brief History of the Aphorism (Bloomsbury, 2005; 1st US edition, 2nd printing) in Fine condition, no marks or writing, black marker dot on top side of pages

Cash only. Please have a look at my other listings as well. Thank you.",excellent,History,
Bravo! A Guide to Opera for the Perplexed,3,"Barrymore Laurence Scherer – Bravo! A Guide to Opera for the Perplexed (Dutton, 1996; 1st edition, 1st printing) [HB] in Fine condition

Cash only. Please have a look at my other listings as well. Thank you.",excellent,Education & Teaching,
What Your 4th Grader Needs to Know,5,"E.D. Hirsch Jr., editor – What Your 4th Grader Needs to Know. Fundamentals of a Good Fourth-Grade Education (Delta, 1994) No marks or writing, Name written in marker on inside of front cover

Cash only. Please have a look at my other listings as well. Thank you.",excellent,Education & Teaching,
Heartsaver First Aid CPR AED Student Workbook,5,"Heartsaver First Aid CPR AED Student Workbook (American Heart Association, 2011) Like New, no marks or writing

Cash only. Please have a look at my other listings as well. Thank you.",like new,Education & Teaching,
Lot of 3 Bonhams Asian Art Auction Catalogs,25,"In Very Good to Fine condition. $25 for all 3, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

The catalogs are:
1. Fine Japanese and Korean Works of Art. Wednesday, September 14, 2016 (New York)
2. Fine Asian Works of Art. Tuesday, June 26, 2018 (San Francisco)
3. Asian Decorative Works of Art. Wednesday, June 17, 2018 (San Francisco)",excellent,"Arts, Crafts & Photography",
Lot of 5 Bauman Rare Books Catalogs,20,"In Very Good to Fine condition. $20 for all 5, not sold separately. Cash only.

Please have a look at my other listings as well. Thank you.

The catalogs are:
1. Holiday 2017 Great Gifts
2. Autumn 2017
3. November 2017
4. May 2018
5. Summer 2018",excellent,Education & Teaching,
Comic books for sale and trade,5,Selling some of my comics. Love to trade. If you’re interested in anything in the pictures please reach out. Most are $5 or less. I also have much more. Thanks,like new,Children's Books,
Computer Science Textbooks,6,"Have 4 computer science textbooks for sale. $6 each. 

- Compilers Principles, Techniques and Tools (Dragon book) 2nd edition
- Modern Operating Systems
- Linux Kernel Development
- Elements of Programming Interviews (C++ edition)

Pick up only.",excellent,Education & Teaching,
BEER BOOK COLLECTION – SIX (6) BOOKS,21,"BEER BOOK COLLECTION – SIX (6) BOOKS - $21.00 – Olympia, WA 98501

Asking price is $21.00.
Only sold as a complete set!

All books in excellent condition (refer to photos).
INTERIOR PAGES ARE IN EXCELLENT CONDITON (refer to photo examples).
Total Original List Price of Books = $80.

A GREAT GIFT FOR YOUR FAVORITE COLLECTOR!

1) Beers Of The World (2005) - 320 pages
2) The Great American Beer Book (1978) - 232 pages
3) Greater Seattle’s Guide To Greater Beers (1983) - 56 pages
4) Beers Of The World (2004) - 128 pages
5) The Beer Book (1981) - 96 pages
6) The Beer Can (1981) - 218 pages

Photos are of the actual items.

Please reply by e-mail and provide telephone number with Area Code.
I AM UNABLE TO TEXT.

PLEASE PROVIDE TELEPHONE NUMBER – NO RESPONSES TO E-MAILS WITHOUT TELEPHONE NUMBER.

I will respond to you by telephone.
You must pick-up item in person.
Cash only accepted.
No Trades.

*** THANK YOU FOR VIEWING MY AD AND USING CRAIGSLIST! ***
*** THIS IS A LEGITIMATE AD ***

Keywords: Beer, Beer Books, Suds, Seattle, Shop Manual, Shop, Repair, collectables, old, new, used, vinyl, records, cd, disk, cassette, old school, retro, lot, classic, Chevy, hotrod, rod, first edition, special edition, collectors edition, one of a kind, box, boxes, hundreds, clear, shiny, lot, good, deal, high quality, OEM, Orting, Bonney Lake, Buckley, Sumner, Enumclaw, Maple Valley, Carbonado, Burnette, South Prairie, Wilkeson, Auburn, Seattle, Federal Way, Tacoma, Bellingham, Burien, Lakewood, Puyallup, Chehalis, Centralia, Aberdeen, Montesano, Shelton, Hoquiam, Rochester, Tenino, McCleary, Tumwater, Olympia, Lacey",excellent,"Arts, Crafts & Photography",
Inuksuit: Silent Messengers of the Arctic,60,"Paperback book,in great shape with no wear. $60 cash,willing to meet up",new,Biographies & Memoirs,
Disney Mickey Mouse Best Comics,80,"this hardback book is a first edition print 1978. included is the first mickey serial,
""Mickey Mouse in Death Valley"" (march 31, 1930) all of the pages are crisp 
and still vivid with color,in great condition. $80 cash, not interested in any trades.",excellent,Children's Books,
Vintage The United States Air Force Museum Souvenir Book,11,"Vintage The United States Air Force Museum Souvenir Book, Lockheed Starfighters Cover in very good condition, no stains or writing noticed. 11"" wide x 8 3/8"" wide, 120 pages paperback
Can meet or mail this",excellent,"Arts, Crafts & Photography",
Vintage Unicolor Color Darkroom Primer Guide 1978,19,"Vintage UNICOLOR COLOR DARKROOM PRIMER Book Guide 1978 in very good condition minus some discoloration from age. The black cardstock Flip-Flop Mask discolored the inside cover from storing
8.5"" wide x 11"" tall, 44 pages paperback. Can meet or mail this",good,"Arts, Crafts & Photography",
Just Walk Across the Room Simple Steps Pointing People to Faith,3,"Hardcover 
2006 edition",excellent,Religion & Spirituality,
Children books. Ask me why book set. 8 books in total.,39,"Ask me why book set, 8 books in total. Hard cover. These books are very educational and fun to read. All in excellent condition!",like new,Children's Books,
Chilren educational books.,35,"Children fun & educational books, including Brain Quest 300 Questions with answers. 2 National Geographic Kids books, 2 What’s Inside books, one brand new Big hidden pictures book, a My First Dictionary book, one science textbook, and a Discover textbook! All in great condition, very educational, and fun to read. 8 Books in total.",excellent,Education & Teaching,
"Children books, fun and educational. 67 books in total.",38,"67 children books for $38, including hard cover and soft cover books all in good condition for children ages 3-8. These books are fun to read, and educational at the same time.",excellent,Children's Books,
Disney princess children books. 12 books for $15,15,"Disney Princess children story book collection. Hard cover. 12 books for $15, all in excellent condition.",excellent,Children's Books,
Singapore math 2nd grade,30,Singapore Math in excellent condition.,like new,Education & Teaching,
The Angry Birds Movie Red's Big Adventure Book-NEW,3,"National Geographic - Official companion to The Angry Birds Movie
159 pages
This latest entry in the National Geographic Angry Birds series will take you on an amazing journey with Red, the leader of the Angry Birds flock, along with Matilda, Chuck, Bomb, Terence, and the mysterious Mighty Eagle. Featuring The Angry Birds Movie (2016) story world, this book is filled with all the fun facts and information Red and the flock need to embark on their big adventure. From identifying wildlife to navigating by the stars to building a shelter and setting traps (for any roaming Piggies), this book will be sure to educate and entertain.

Cash only",new,Children's Books,
flute/pno music,5,"Bach - Sonata No. 1, BWV1030
flute solo with piano accompaniment
all clean, no writing, non smoking home
never been used, but sitting in a file cabinet
**  I have another set of Bach sonatas and a set of Mozart sonatas, also.",like new,"Arts, Crafts & Photography",
Vintage Donna Parker complete 7 book set,20,"The DONNA PARKER series consisted of seven volumes written by Marcia Martin with illustrations by Mary Stevens.  A young girls adventure/mystery series.

Publisher:  Whitman Publishing Company

In Donna Parker at Cherrydale, the first book in the seven-book Donna Parker series by Marcia Martin, Donna and her best friend Ricky take jobs as junior counselors at Camp Cherrydale, a summer camp for young children 

1: Donna Parker at Cherrydale (1957)
2: Donna Parker Special Agent (1957)
3: Donna Parker On Her Own (1957)
4: Donna Parker: A Spring to Remember (1960)
5: Donna Parker In Hollywood (1961)
6: Donna Parker: Mystery at Arawak (1962)",good,Fiction,
Languages & Thesaurus,1,"1) Cambridge Encyclopedia of Languages, 2nd Edition, published 1997.  Not handled much beyond a first reading.  [$12]

2) March's Thesaurus Dictionary, published 1958 by Norman Cousins.  In great shape; no tears or pages coming off.  [$25]",excellent,Education & Teaching,
Health & Wellness,1,"1) The Complete Book of Essential Oils and Aromatherapy, by Valerie Ann Worwood.  [$10]

2) 3 books on eating raw:  ""Raw Food World"" recipes, ""Everyday Raw Express"" recipes, and ""Eating in the Raw"".  [$10 for all 3]

3) 2 General Health:  ""Total Wellness"" by Joseph Pizzorno; ""Sick and Tired"" by Robert Young  [$5 each]",excellent,Education & Teaching,
Languages & Thesaurus,1,"1) Cambridge Encyclopedia of Languages, 2nd Edition, published 1997.  Not handled much beyond a first reading.  [$12]

2) March's Thesaurus Dictionary, published 1958 by Norman Cousins.  In great shape; no tears or pages coming off.  [$25]",excellent,Education & Teaching,
The World of Mathematics,18,Paperback collection set by James R. Newman; like new.  You can do an internet search for this book and get a good description of the contents.,like new,Education & Teaching,
Science Books Set,12,"5 subjects covered, with illustrations and photos providing brief overviews of discoveries and develoments in Chemistry, Medicine, Electricity, Light, Technology.  63 pages per book.

They would be a good explanatory base for homeschooling.  $15 for the set.",like new,Education & Teaching,
1985 Honda Civic Service Manual,5,"1985 Service Manual for Honda Civic (hatchback, sedan, wagon).  [$5]",good,Engineering & Transportation,
Health & Wellness,1,"1) The Complete Book of Essential Oils and Aromatherapy, by Valerie Ann Worwood.  [$10]

2) 3 books on eating raw:  ""Raw Food World"" recipes, ""Everyday Raw Express"" recipes, and ""Eating in the Raw"".  [$10 for all 3]

3) 2 General Health:  ""Total Wellness"" by Joseph Pizzorno; ""Sick and Tired"" by Robert Young  [$5 each]",excellent,Education & Teaching,
Goosebumps #1-5 90's Prints,20,"Set of Goosebumps books by R.L. Stine, the first 1-5 books in the series. In very good condition. Yes, you can buy these new if you simply want the books. They are not terribly valuable each on their own, but you might have a tough time finding the first 1-5 from the era when they were all the rage in this condition. Nostalgia. If you're a fan and you want well taken care of copies produced in the mid 90's, these are for you. Pages have yellowed through age, but they are still in very good shape. The 'bumps' are still very much in tact.",excellent,Children's Books,
Wheel of Time Books,10,"A few Wheel of Time books, I'm hoping somebody is interested in picking them up.
Save you a few bucks buying new. The paperbacks are in okay condition, and the hardcovers are in good condition. What you see is what I have, the missing books were either ruined or borrowed and not returned.
You might want to bring a wheelbarrow if you want to pick these up... Robert Jordan was a crazy person.",good,Children's Books,
1958 Brussels World's Fair Souvenir Booklet and Airlines Pamplet,15,"1958 Brussels World's Fair Souvenir Booklet Belgium Exposition Guide Book and Sabena Belgian world airlines pamphlet
Vintage 1958 Brussels World's Fair Souvenir Booklet Belgium Exposition Guide Book RARE Original Printing Wonderful Color Lithographs
Oblong booklet, 10 x 7 inches

You will also receive Sabena Belgian world airlines pamphlet
""The first universal exposition of the atomic era""
8.25 Tall by 4"" wide
Both packaged with protective plastic book sleeve
Nonsmoking household
$ 15 firm  (you get both)",excellent,Travel,
Family Word Finder by Reader's Digest - Hard Cover,6,"A New Thesaurus of Synonyms and Antonyms in Dictionary Form
896 pages
cash only",excellent,Education & Teaching,
Guide to Finances After Fifty-Hardcover (NEW),5,cash only,new,Education & Teaching,
Road atlas 2016 (USA),5,Big book with big maps atlas.Cash only  Slightly used.pick up only at location agreed by both parties. dimensions 10 inches  x 15 1/2 inches ( W X L),like new,Travel,
Mount Rushmore-The Story Behind the Scenery,5,"49 pages
9"" x 12""
cash only",like new,Travel,
UW Textbooks from Construction Management Major,50,"$50 is just an estimate of an offer for the average book if you only want one. Otherwise lowest I will accept for all of them as a set is $275.

I have a ton of textbooks from my time at UW Seattle. Some are from before getting into my CM major, most are from being in that major. There are even some old tests, homeworks, and worksheets from the classes in some which could help you study. They are all in great condition, very few are written in. You can buy all, or some, just make me an offer on any you want and need. 

Here is the list of books I have:

142 General Chemistry (these are custom for each quarter of labs, but labs are repeated often so this will have all the answers for many labs you will likely still have for your current quarter)

Physics 117 & 118 (these are custom for each quarter of labs, but labs are repeated often so this will have all the answers for many labs you will likely still have for your current quarter)

A nice colored paper periodic table still in origional packaging

Select Topics In Construction History written by Len Holm

CM 311 A/B Construction Contract Documents by Len Holm

Cost Accounting And Financial Management For Project Managers by Len Holm 

CM 411 Project Planning And Control by Ahmed Aziz

Construction Superintendants by Len Holm

CM 332 Construction Equipment Course Pack by Kamran Nemati

CM 310 Construction Basics Course Pack by Giovanni Migliaccio

A blank surveying field book

CM 434 Lean Project Management Course Pack by Yong-Woo Kim

The Guide 2010 edition 35 (this is dated, but most prices change very little year to year so still totally usable. Numbers can also be adjusted for inflation appropriatly if needed)

The Guide 2017 edition 11 (this is dated, but most prices change very little year to year so still totally usable. Numbers can also be adjusted for inflation appropriatly if needed)

6 blank UW Purple Scantron Bubble Sheets

1 blank small official UW blue testing booklet

Sett I Gang Workbook (for learning norwegian) 

Sett I Gang textbook

Sett I Gang Glossary

Say It In Norwegian pocket reference book

Norwegian Pocket Dictionary

Barrons AP United States History Flash Card Deck (in totally like new condition, hardly used)

Bedford/ St. Martins online reference code (never been used so will still work, can see it has never been opened)
Recourse Center Online Tools for Success (never been used so will still work, can see it has never been opened)

The Road by Cormac McCarthy

100 Best Love Poems 

Great Expectations by Charles Dickens

Construction Cost Estimating by Len Holm

Who Done It? 101 Case Studies In Construction Management by Len Holm (this is an older edition, but he still allows you to use it in class and has all the same cases, they are just in a slightly different order. He can give you a cross over list for reference to the new cases if you have this book)

Microeconomics by Hubbard & O'Brien 

HITT iCue Clicker model TX3100
Building Construction Costs RS Means 2017 edition (This is the version which will be used in next years estimating classes since its cheaper to buy then the new edition)

Sooooooooo many books! Some of these were slightly water damaged, but all still totally legible! I respond quickly via email, let me know if you are interested in any! Thanks!",good,Education & Teaching,
Mid-century American cookbook,10,"“Rare Recipes and Budget Savers""
As compiled from the columns of the now-defunct Wichita Eagle’s Home Town News comes this rare taste bud tour de force featuring such mid-century American culinary classics as Green Beans & Wieners and Head Cheese, as well as more exotic fare like Cottage Cheese Raisin Pie and my personal favorite, Mayonnaise Cake. Bon appétit and pass the Oleo!",excellent,"Cookbooks, Food & Wine",
Night by Elie Wiesel - class set (29),75,"I have 29 copies of “Night” by Elie Wiesel that I used in a classroom for a few years. Decent condition. $75 for all or best offer.

key words: holocaust literature, World
War II, novels, high school, middle school, classroom set.",good,Biographies & Memoirs,
Sea Kayaker Magazines Issue #1 to 2003,900,"Complete collection from

Issue #1 Spring 1994 through February 2003

All 92 copies are in excellent condition!",excellent,Sports & Outdoors,
Vintage Poems by Mary Baker Eddy,8,Vintage Poems by Mary Baker Eddy,good,Fiction,
iOS Programming Book,15,"Really great read if you're interested!
Sells new for like 35 bucks.",good,Education & Teaching,
I Ching Tarot game,125,This is a game of divination and discovery.  Both the book and cards are complete and stored in the I Ching Tarot box. It is not new but in excellent condition.,excellent,Fiction,
Children's Bedtime Treasury,35,"This is a  sixty story hard back copy of Children's Bedtime Treasury by Derek Hall, Alison Morris and Louisa Somerville.  It is 382 pages with no tears, turned down corners or marks. It was published by Dempsey Parr, Queen Street House, Bath UK in l999.  The copyright is 1998.  It is in like new condition.",like new,Children's Books,
North American Indians in Historical Perspective,30,"This hardback book was publish in 1971. It covers the history of the native inhabitants of America.  It has 498 pages which are complete, unmarked, with no tears, or turned down corners.  It is in excellent condition.",excellent,History,
Arabian Nights illustrated by Rene Bull,55,"The Arabian Nights illustrated by Rene Bull is published by Calla Editions, Mineola, New York. Copy Right: 2010 A replication of The Arabian Nights originally published by Constable  Co. Ltd in 1912. It is hard bound, has 335 pages and is in new condition.",new,Fiction,
All Together Now Beatles discography 1961-75,30,"This is a paperback edition of All Together Now, The First Complete Discopgraphy  1961-1975.  It is complete, unmarked with no turned down corners or tears.  The front cover is slightly worn on the edges and corners.",excellent,Humor & Entertainment,
"Funk & Wagnall's Standard Dictionary of Folklore, Mythology and Legend",45,"This is a large 2 1/2"" in depth paperback book on Folklore, Mythology and Legends edited by Marla Leach and Jerome Fried.   The copyright dates are: 1972, 1950, 1949. The book is complete, unmarked with no turned down pages, or turned corners. The front cover is complete with only a slightly bumped lower corner.  It is in excellent condition.",excellent,Education & Teaching,
Chilton repair manuals,15,"Available are 4 Chilton repair manuals, all are complete and in good condition. $15 each, $50 for all 4

Chilton's auto repair manual 1971, covers American cars and Volkswagen '64 to '71
Chilton's auto repair manual 1974, covers American cars '67 to '74
Chilton's auto repair manual 1979, covers American cars '72 to '79
Chilton's truck, van and SUV repair manual 2000, covers American and foreign small and full size vehicles '96 to '00 

e-mail or leave a message or text to 2zero6 4zero9 3588


service manual, repair manual, shop manual",good,Engineering & Transportation,
Japanese Anime —-Alpha and Namori,15,"$15—-Alpha / Kozue Amano Art 1 (clear case With Obi ) Kozue Amano


$30—-Namori Art Works Variety exhibition Japanese Manga Dojin Illustration Art Book",like new,Teen & Young Adult,
Country Music Scrapbook,20,"1968 Country Music Souvenir Scrapbook , Jimmy Dickens , Waylon Jennings , George Jones , Grandpa Jones , 
Loretta Lynn , Carl Perkins , Johnny Cash , Carter Family , Dolly Parton , Hank Williams Jr , Tammy Wynette ,
Minnie Pearl , Buck Owens , Conway Twitty , Tex Ritter , Charley Pride , etc .........",good,"Arts, Crafts & Photography",
Penthouse Magazines,35,"12 issues of Penthouse Magazine
Entire year 2006 - - January through December 2006

All in fine condition

MUST BE OVER 18 YEARS OF AGE TO PURCHASE

Reasonable offer considered",excellent,Humor & Entertainment,
1994 Mighty Morphin Power Rangers The Super Zords Paperback Book,5,"Vintage 1994 Mighty Morphin Power Rangers The Super Zords Paperback Book 
By Jean Waricha 
Crunch!
The Lizzinator, the ugliest lizard monster to walk on Earth, has only one thing on its heavy meatal mins: Destroy the Power Rangers.
Complete
Color pictures inside
Does have some dog ear on cover and some pages at the beginning of book
From the children’s television shown Mighty Morphin Power Rangers
Collectible
Saban
Nonsmoking no pet home
Has been in a sealed plastic container for decades
$ 5 firm",good,Children's Books,
282 Crochet Patterns/Projects + 104 How-To's,35,"1 ring binder (180 patterns/topics), 2 hardcover books (over 96 patterns), 2 softcover books (108 patterns), and 1 sheet (2 patterns). All are in good condition, stored in non-smoking home. 

I live in the Yelm-Rainier area and can also meet you in Olympia, Lacey, Tumwater, Tenino, or McKenna. If you are coming from north of Olympia, we can meet in front of the Lacey OfficeMax. If you are driving from south of Olympia, we can meet at the Tumwater Costco. I can give you their addresses for your GPS.

RING BINDER:
Quick 'n Easy Crocheting. Binder sections with 76 patterns and 104 how-to's organized under 6 headings:  Holidays & Christmas (20 patterns) / Crochet Know-How (56 topics)/ Afghans & Baby Blankets (37 patterns) / Textured Stitches (23) / Lace Patterns (19) / Edgings, Finishings & Trims (25).

HARDCOVER BOOKS: 
Country Crochet. McCall's Needlework & Crafts. 16 projects including hand-worked chess set, welcome wreath, barnyard animals. Copyr 1992. ISBN 0696023547.
Romantic Crochet. Better Homes and Gardens. Over 80 crochet projects. Copyr 1991. ISBN 0696018454.

SOFTCOVER BOOKS:
Crocheting Tablecloths and Placemats: 90 beautiful patterns for lace tablecloths and placemats. Copyr 1975. ISBN 0486206599.
Wrapped in Crochet: Scarves, Wraps & Shawls. 18 projects. Kristin Omdahl. Ex-Libr. Copyr 2008. ISBN 9781596680760.

SOFTCOVER SHEET:
Leisure Arts Nifty Neckwear 83082, 2 patterns.

*   I SELL OTHER SETS OF BOOKS HERE, SO WHEN YOU CONTACT ME, please mention the SPECIFIC BATCH of items you are interested in.   *",good,"Arts, Crafts & Photography",
"Vintage 1943 Book ""WILL ROGERS His Story As Told By His Wife"" Biograph",10,"Rare Vintage 1943 Autobiography of ""America's Greatest Storyteller"" Will Rogers.  Written by his wife Betty Rogers, who gives a straight forward account of her late husband's life.  Will Rogers died in a plane crash in 1935 with columnist Wiley Post.  This 312 page book is in decent condition with no missing or marked pages. Page 63 has a small tear at top and edges of pages are brownish due to age. The original dust cover is faded on the spine and there are some tears.  Hardcover.  I can ship, you pay postage.  I use PayPal.",fair,Biographies & Memoirs,
Orr on Ice,25,"1970 Orr on Ice , Bobby Orr . Boston Bruins , Hardback with dust jacket .",excellent,Fiction,
Frets Magazine,25,"March 1979 Frets magazine , 1st issue , Doc Watson and David Grissom , Mike Seeger ........................
January 1981 with A History of Gibson Banjos and Monroes F-5 .",excellent,"Arts, Crafts & Photography",
11 Books-Eating Vegetarian - Batch 1,25,"11 books: 3 hardcovers (HC), 4 softcovers (SC), and 4 mass-market-size (small) paperbacks (MMP). NONE are Ex-Library. All are in good to very good condition, stored in non-smoking home. You can look up most of these books on Am*z*n by their ISBN numbers. I am asking $25 for the entire batch. 

I live in the Yelm-Rainier area and can also meet you in Olympia, Lacey, Tumwater, Tenino, or McKenna. If you are coming from north of Olympia, we can meet in front of the OfficeMax in Lacey. If you are coming from south of Olympia, we can meet at the Tumwater Costco. I can give you their addresses for your GPS.

A New Way of Eating: The Proper Foods, Combinations and Recipes to Start You on the Road to Good Health. Marilyn Diamond. SC. ISBN 0446384046.

Add a Few Sprouts: To Eat Better for Less Money. Martha Oliver. MMP. 

Bragg Healthy Lifestyle: Vital Living to 120! Paul and Patricia Bragg, ND, PhD. SC. ISBN 0877900027.

Diet for a Small Planet: How to Enjoy a Rich Protein Harvest by Getting Off the Top of the Food Chain. Frances Moore Lappe. MMP. 

Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition. Joel Fuhrman, MD. SC. ISBN 9780316120913.

Eating Animals. Jonathan Safran Foer. HC. ISBN 9780316069908.

Feasting on Raw Foods: Featuring Over 350 Healthful No-cook Recipes for Every Part of a Meal. Charles Gerras. HC. Rodale Press. ISBN 0878572716. 

Higher Taste: A Guide to Gourmet Vegetarian Cooking and a Karma-Free Diet. Based on the teachings of A.C. Bhaktivedanta Swami Prabhupada. MMP. ISBN 0892131284.

Lean Italian Meatless Meals: 130 Delicious Recipes That Are Low Fat, Low Sodium, High Fiber, Low Cholesterol. Anne Casale. HC. ISBN 0449983684.

Recipes for a Small Planet: High Protein Meatless Cooking. Ellen Buchman Ewald. MMP. ISBN 0345247809.

Sundays at Moosewood Restaurant: Ethnic and Regional Recipes from the Cooks at the Legendary Restaurant. Moosewood Collective. SC. ISBN 0671679902.

*  I HAVE OTHER BATCHES LISTED, SO WHEN YOU CONTACT ME, please mention the SPECIFIC BATCH of books you are interested in.  *",good,"Cookbooks, Food & Wine",
"3 Books on Princess Diana, Royal Biography",10,"3 hardcovers with dust jackets and photo sections. NONE are ex-library and all are in good to very good condition, stored in a non-smoking home. You can look them up online by their ISBN numbers. I am asking $10 for all 3. 

I live in the Yelm-Rainier area and can also meet you in Olympia, Lacey, Tumwater, Tenino, or McKenna. If you are coming from north of Olympia, we can meet in front of the OfficeMax in Lacey. If you are coming from south of Olympia, we can meet at the Tumwater Costco. I can give you their addresses for your GPS.

Diana in Search of Herself: Portrait of a Troubled Princess. Sally Bedell Smith. Copyr 1999. ISBN 0812930304.

Diana: Her True Story. Andrew Morton. Copyr 1992. ISBN 0671793632.

Diana's Boys: William and Harry and the Mother They Loved. Christopher Andersen. Copyr 2001, First Edition. ISBN 0688172040.

*   I SELL OTHER SETS OF BOOKS HERE, SO WHEN YOU CONTACT ME, please mention the SPECIFIC BATCH you are interested in.   *",excellent,Biographies & Memoirs,
